YEAR,STATE,COUNTY,PARTY,VOTES
2024,CO,La Plata County,Republican,14024
2024,CO,La Plata County,Democratic,20677
2024,CO,Lake County,Republican,1557
2024,CO,Lake County,Democratic,2199
2024,CO,Larimer County,Republican,89680
2024,CO,Larimer County,Democratic,129376
2024,CO,Las Animas County,Republican,4328
2024,CO,Las Animas County,Democratic,3276
2024,CO,Lincoln County,Republican,2090
2024,CO,Lincoln County,Democratic,432
2024,CO,Logan County,Republican,7855
2024,CO,Logan County,Democratic,2098
2024,CO,Mesa County,Republican,55839
2024,CO,Mesa County,Democratic,33573
2024,CO,Mineral County,Republican,417
2024,CO,Mineral County,Democratic,317
2024,CO,Moffat County,Republican,5358
2024,CO,Moffat County,Democratic,1167
2024,CO,Montezuma County,Republican,8972
2024,CO,Montezuma County,Democratic,5793
2024,CO,Montrose County,Republican,16704
2024,CO,Montrose County,Democratic,8354
2024,CO,Morgan County,Republican,9830
2024,CO,Morgan County,Democratic,3291
2024,CO,Otero County,Republican,5520
2024,CO,Otero County,Democratic,3164
2024,CO,Ouray County,Republican,1573
2024,CO,Ouray County,Democratic,2442
2024,CO,Park County,Republican,6828
2024,CO,Park County,Democratic,4841
2024,CO,Phillips County,Republican,1888
2024,CO,Phillips County,Democratic,412
2024,CO,Pitkin County,Republican,2992
2024,CO,Pitkin County,Democratic,7932
2024,CO,Prowers County,Republican,3833
2024,CO,Prowers County,Democratic,1227
2024,CO,Pueblo County,Republican,43688
2024,CO,Pueblo County,Democratic,39328
2024,CO,Rio Blanco County,Republican,2988
2024,CO,Rio Blanco County,Democratic,637
2024,CO,Rio Grande County,Republican,3743
2024,CO,Rio Grande County,Democratic,2306
2024,CO,Routt County,Republican,5676
2024,CO,Routt County,Democratic,10208
2024,CO,Saguache County,Republican,1577
2024,CO,Saguache County,Democratic,1704
2024,CO,San Juan County,Republican,188
2024,CO,San Juan County,Democratic,376
2024,CO,San Miguel County,Republican,1154
2024,CO,San Miguel County,Democratic,3529
2024,CO,Sedgwick County,Republican,1048
2024,CO,Sedgwick County,Democratic,283
2024,CO,Summit County,Republican,5244
2024,CO,Summit County,Democratic,11762
2024,CO,Teller County,Republican,10856
2024,CO,Teller County,Democratic,5065
2024,CO,Washington County,Republican,2436
2024,CO,Washington County,Democratic,329
2024,CO,Weld County,Republican,106469
2024,CO,Weld County,Democratic,68752
2024,CO,Yuma County,Republican,3807
2024,CO,Yuma County,Democratic,758
2024,DC,District of Columbia,Republican,21076
2024,DC,District of Columbia,Democratic,294185
2024,DE,Kent County,Republican,42458
2024,DE,Kent County,Democratic,44222
2024,DE,New Castle County,Republican,90868
2024,DE,New Castle County,Democratic,180700
2024,DE,Sussex County,Republican,81025
2024,DE,Sussex County,Democratic,64836
2024,FL,Alachua County,Republican,52939
2024,FL,Alachua County,Democratic,81578
2024,FL,Baker County,Republican,12926
2024,FL,Baker County,Democratic,1982
2024,FL,Bay County,Republican,71497
2024,FL,Bay County,Democratic,25201
2024,FL,Bradford County,Republican,10920
2024,FL,Bradford County,Democratic,2946
2024,FL,Brevard County,Republican,216533
2024,FL,Brevard County,Democratic,141233
2024,FL,Broward County,Republican,358952
2024,FL,Broward County,Democratic,507328
2024,FL,Calhoun County,Republican,5367
2024,FL,Calhoun County,Democratic,1021
2024,FL,Charlotte County,Republican,82480
2024,FL,Charlotte County,Democratic,40450
2024,FL,Citrus County,Republican,71356
2024,FL,Citrus County,Democratic,26276
2024,FL,Clay County,Republican,87711
2024,FL,Clay County,Democratic,37926
2024,FL,Collier County,Republican,143267
2024,FL,Collier County,Democratic,71720
2024,FL,Columbia County,Republican,25108
2024,FL,Columbia County,Democratic,8250
2024,FL,DeSoto County,Republican,8888
2024,FL,DeSoto County,Democratic,3525
2024,FL,Dixie County,Republican,6920
2024,FL,Dixie County,Democratic,1183
2024,FL,Duval County,Republican,236285
2024,FL,Duval County,Democratic,229365
2024,FL,Escambia County,Republican,96407
2024,FL,Escambia County,Democratic,64601
2024,FL,Flagler County,Republican,51014
2024,FL,Flagler County,Democratic,28431
2024,FL,Franklin County,Republican,4831
2024,FL,Franklin County,Democratic,1870
2024,FL,Gadsden County,Republican,7495
2024,FL,Gadsden County,Democratic,14203
2024,FL,Gilchrist County,Republican,8931
2024,FL,Gilchrist County,Democratic,1662
2024,FL,Glades County,Republican,4034
